knee length,gown length,half blouse,shoulder length,breast point,sleeve mid,sleeve length,round sleeve,skirt length,hips,waist,burst,Blouse length,underbust,shoulder to nipple point,shoulderto underbust
38,57,16.5,17,8.5,7,22,13.5,40,47,37.5,43,24,39,10.5,15
38,57,19,20,6,11,22,17.5,40,52,47.5,52.5,26,49,14,16
32,48,16,15,7,9,18,12,28,42.5,34,38.5,23,34.5,9,14
21,60,15,15,9,10,22,15,42,41,28.5,35,22,29,9,13.5
42,60,17,16.5,7,10,23,11,44,39,26.5,34,23.5,27,8,13.5
38,52,14.5,14,6,5,21,10,24,33,30,31,21,30.5,8,12
39,54,16.5,15,8,7,21,11,31,37.5,27.5,33.5,22.5,28,9,12.5
33,48,14.5,13,9,6,12,8,33,26,22.5,28.5,19,23,7.7,12
40,59,16,16,7,5,24,10,24,38,27.5,33,24,28,10,12.5
45.5,57.5,18.5,17.5,9,10,22,18,36,57,44,45,23,44.5,12.5,15
37,55.5,14.5,15,7,11,20,10,22,36,26,32,22,26.5,9,12.3
45.5,57.5,18.5,17.5,9,10,22,18,35,57,44,45,21,44.5,12.5,15
42.3,57,17,16,8,8.3,23,14,41,42.5,35,38,23,35.5,11,15.1
37,55,17,15.5,9,9.5,17,14,38,43.5,41,40.5,24,41,10,15
32,45,16,16.5,11,13,23,13,41,45,35.5,40,26,40.5,10,14.2
39,59,16.5,16,9,16,16,13,22,42.5,35,37,22,31,9,14.3
32,48,17,18,8,10,22,12,31,45,37.5,39,24,38,9.3,14.4
42,60,18,16.5,7,12.4,17,15,39,42,29,34.5,24,29.5,11,13.1
33.5,42,15,15,6.5,8,20,10.5,32,37,25.5,32,26,26,8.5,13
39,58,15,15.5,6.5,10,23,9,41,33.5,25,26,23,25.5,8.5,9
40,59,15,15.5,6.5,11,18,14,44,37,28,34,22,28.5,9.5,13
36,52,10,14,8,7,7,7.5,40,36,25.5,35,23.5,26,10,13.2
37,55,15,14,6.5,18,18,8,42,32,28,33,21,28.5,9,13.2
39,58,15,14.5,7,9,15,10,40,41.5,34,35,22.5,34.5,10,13.3
42,61,15,16,7,17,17,15,44,37,26,34,19,27.5,9,12
36,49,16,15,8,16,16,12,37,38,39.5,36,24,41,9.6,13.2
40,59,16.5,16.5,7.5,12,12,13,43,41.5,38,38,23,32,11,14.2
42,58,14,15,7,7,10,12,27,36,28,35.5,23,36,9.5,13
38,57,15.5,15,7,12,12,11,23,40,30.5,38,24,31.5,9,14.4
40,60,16,15.5,8,7,23,11.5,41,37,29.5,37,23,30,12,14.4
40.5,58.5,15.5,15.5,6.5,7,25,13,23,40,31,38,23,31.5,10.5,14.4
39,56.5,15,14.5,8,8,22,10,38.5,36,26.5,33.5,22,27,10,12.6
37,55,14,15,7,10,15,10,43,36,26.5,33,25,28,10,12
33,41,14,13,9.8,14,20,10,40,35,28.5,33.5,24,29,10,12.2
41,60,16,15,7,13,23,12,28,40,28.5,36.5,23,29,10,13
,,,,,12,,,,49,43,45,21,44,11,15.5
38,59.5,16,16,7,15,23,14,26,36,28,33.5,19,29,9.5,12.2
38,57,16,15.5,7,8,22,15,22,38.5,28.5,32,20,29,9,11
41,61,17,16,7,6,24,16,32,39.5,32,37,22,31,9.5,14.3
38,59,15.5,15,7,9,22,15,22,32,25,32,23,26,8.5,12.6
37,52,14,14.5,6,6,21,11.5,33,36,30,34.5,22,34,10,12
43,62,18,16,8,11,11,16,34,49,39.5,46,26,42,13,15.3
37,59,15,15,7,7,24,15,35,40.5,26,34,27,27,9,13.3
40,60,16,16.5,7.5,22,22,13,42,47.5,36,41,25,34,10.5,15.1
24,34,9,9,9,4,10,7,22,22,22,22.5,19,24,8,9
40.4,58.5,14,14,7,10,25,13,21,37.5,27.5,35.5,25,28.5,9.5,12.8
32,41,15,16,7,6.5,6.5,11,24,41,31,34,20,28.5,12,12.6
17,23,14,14,7,7,7,10,14,34,29,33,16,30,9,13
27,39,12,13,7.5,10,10,12,22,35.5,33.5,36,23,34,9,13
24,34,14,15,8,16,16,10,14,26,23,24,35,24,8,9
39,54,14,14,7.5,17,17,14,30,36,25.5,32,22,26,9.5,13
33,48,15,14,6,21,21,13,28,35,31,37,22,32,10,14
40,59,15,14,7,24,24,13,44,34,28,34,23,28.5,12,9.5
45.5,57.5,15.5,13,7,23,23,14,42,31,30,36,22,36.5,9.7,14
39,54,15,13,6.5,17,17,14,39,33,30,34.5,23,31,10,13.5
33,48,16,15,6,10,23,13,38,34,36,40,24,37,12,
40,59,15.5,14,6,12,16,13,40,40,35.5,38.5,19,36,13,
45.5,57.5,16.5,,8,13,22,12,38,47,34,46,23,34.5,11,15.5
41,60,,14.5,7.5,11,17,15,44,40,36,40,26,36.5,9.5,
33,41,15,13,7,9,20,10.5,30,34.5,27,33,23,28,9,13
30,43,15,14,6,5,23,9,30,37,26.5,33,23,27,10,13
40,54,14,14.5,7,4,22,12,37,38,31,36,24,32,10.5,
,,,,7,6.5,,,,39,26,35,24,35.5,9.5,13.5
36,54,17.5,16,8,10,16,13,35,48,45,46,24,47,12,16
33,40,14,13,7,12,22,12,29,35,27.5,33,23,33.5,11,
28,43,16,13,6,7,17,15,30,36,37,36.5,23.5,38,11.3,
34,45,16,15,7,8,20,10.5,31,44.5,34,40,24,35,10.5,14
41,59,15.5,15,8,10,23,9,47,43,35,41,25,36,10,14
